name,iata_code,iso_region,type
Utirik Airport,UTK,MH-UTI,small_airport
Ocean Reef Club Airport,OCA,US-FL,small_airport
Pilot Station Airport,PQS,US-AK,small_airport
Crested Butte Airpark,CSE,US-CO,small_airport
LBJ Ranch Airport,JCY,US-TX,small_airport
Metropolitan Airport,PMX,US-MA,small_airport
Loring Seaplane Base,WLR,US-AK,seaplane_base
Nunapitchuk Airport,NUP,US-AK,small_airport
Port Alice Seaplane Base,PTC,US-AK,seaplane_base
Icy Bay Airport,ICY,US-AK,small_airport
Port Protection Seaplane Base,PPV,US-AK,seaplane_base
Kalakaket Creek AS Airport,KKK,US-AK,small_airport
Dunsmuir Muni-Mott Airport,MHS,US-CA,small_airport
Chase Field Industrial Airport,NIR,US-TX,small_airport
Grand Canyon Bar Ten Airstrip,GCT,US-AZ,small_airport
Ellamar Seaplane Base,ELW,US-AK,seaplane_base
Lime Village Airport,LVD,US-AK,small_airport
Hog River Airport,HGZ,US-AK,small_airport
Ed-Air Airport,OTN,US-IN,small_airport
Telida Airport,TLF,US-AK,small_airport
Eagle Air Park,BZT,US-TX,small_airport
Entrance Island Seaplane Base,HBH,US-AK,seaplane_base
False Island Seaplane Base,FAK,US-AK,seaplane_base
Blakely Island Airport,BYW,US-WA,small_airport
Drift River Airport,DRF,US-AK,small_airport
Rinkenberger Restricted Landing Area,BDF,US-IL,small_airport
Roy Otten Memorial Airfield,VRS,US-MO,small_airport
Golden Horn Lodge Seaplane Base,GDH,US-AK,seaplane_base
Atmautluak Airport,ATT,US-AK,small_airport
Livengood Camp Airport,LIV,US-AK,small_airport
Pedro Bay Airport,PDB,US-AK,small_airport
Ouzinkie Airport,KOZ,US-AK,small_airport
Tununak Airport,TNK,US-AK,small_airport
Ben Bruce Memorial Airpark,EVA,US-TX,closed
Hyder Seaplane Base,WHD,US-AK,seaplane_base
Minto Al Wright Airport,MNT,US-AK,small_airport
Tokeen Seaplane Base,TKI,US-AK,seaplane_base
Aleknagik / New Airport,WKK,US-AK,medium_airport
Ketchikan Harbor Seaplane Base,WFB,US-AK,seaplane_base
Naknek Airport,NNK,US-AK,small_airport
Lake Brooks Seaplane Base,BKF,US-AK,seaplane_base
Southern Seaplane Airport,BCS,US-LA,small_airport
Catalina Air-Sea Terminal Heliport,SPQ,US-CA,heliport
