DATE,PRECIPITATION,MAX TEMP,MIN TEMP
2015-01-01,0.00001,75.0,60.0
2015-01-02,0.00000,79.0,61.0
2015-01-03,0.00000,85.0,67.0
2015-01-04,0.00000,85.0,67.0
2015-01-05,0.00001,74.0,56.0
2015-01-06,0.00000,79.0,56.0
2015-01-07,0.00000,68.0,49.0
2015-01-08,0.00000,62.0,38.0
2015-01-09,0.00000,57.0,46.0
2015-01-10,0.00000,69.0,44.0
2015-01-11,0.08000,79.0,53.0
2015-01-12,2.98000,79.0,63.0
2015-01-13,0.00000,77.0,62.0
2015-01-14,0.00000,65.0,53.0
2015-01-15,0.02000,63.0,53.0
2015-01-16,0.01000,65.0,50.0
2015-01-17,0.00000,74.0,48.0
2015-01-18,0.00000,71.0,54.0
2015-01-19,0.00000,71.0,45.0
2015-01-20,0.00000,72.0,49.0
2015-01-21,0.00000,78.0,52.0
2015-01-22,0.00000,78.0,54.0
2015-01-23,0.01000,80.0,62.0
2015-01-24,0.36000,71.0,49.0
2015-01-25,0.00000,65.0,41.0
2015-01-26,0.06000,67.0,51.0
2015-01-27,0.00000,68.0,44.0
2015-01-28,0.00000,62.0,44.0
2015-01-29,0.00000,72.0,44.0
2015-01-30,0.00001,73.0,46.0
2015-01-31,0.00000,72.0,46.0
2015-02-01,0.00000,75.0,49.0
2015-02-02,0.13000,77.0,51.0
2015-02-03,0.00000,68.0,44.0
2015-02-04,0.00001,75.0,53.0
2015-02-05,1.52000,67.0,50.0
2015-02-06,0.00000,68.0,50.0
2015-02-07,0.00000,73.0,47.0
2015-02-08,0.00000,75.0,48.0
2015-02-09,0.69000,73.0,53.0
2015-02-10,0.00000,65.0,54.0
2015-02-11,0.00000,68.0,48.0
2015-02-12,0.00000,71.0,44.0
2015-02-13,0.00000,61.0,45.0
2015-02-14,0.00000,64.0,41.0
2015-02-15,0.00000,75.0,49.0
2015-02-16,0.00000,77.0,49.0
2015-02-17,0.56000,80.0,59.0
2015-02-18,0.58000,61.0,45.0
2015-02-19,0.00000,52.0,39.0
2015-02-20,0.00000,58.0,33.0
2015-02-21,0.00000,73.0,43.0
2015-02-22,0.00000,82.0,55.0
2015-02-23,0.00001,84.0,57.0
2015-02-24,0.03000,76.0,60.0
